,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,9746,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19153231.0,19153231.0,,1,,,,2022-09-17T16:41:00.000Z,20086.08007146826,27076557442.370586,-5.6937,0.63816537,2.74480681,-5.42280914,-13.77482161,-13.85486874,2.51365645,384713331493.32806,39.4668,421807681500.83,,2022-09-17T16:41:00.000Z,,,,,,2022-09-17 12:42:58.431566
1,1027,Ethereum,ETH,ethereum,6092,2015-08-07T00:00:00.000Z,"['mineable', 'pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem']",,122407885.499,122407885.499,,2,,,,2022-09-17T16:41:00.000Z,1462.9475413243078,12005138048.974031,-29.3894,1.38377655,2.6192732,-14.80229733,-21.28111386,-7.18484032,38.28497881,179076315129.46945,18.3784,179076315129.47,,2022-09-17T16:41:00.000Z,,,,,,2022-09-17 12:42:58.431566
2,825,Tether,USDT,tether,39798,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,67923548349.18519,70156782826.04665,,3,,,,2022-09-17T16:41:00.000Z,1.0001055077209773,38790955108.11527,-13.0086,1.035e-05,0.0127723,-0.0249724,0.00574357,0.00649059,0.12800506,67930714807.9722,6.9678,70164184908.31,,2022-09-17T16:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-09-17 12:42:58.431566
3,3408,USD Coin,USDC,usd-coin,6238,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,50215390254.983734,50215390254.983734,,4,,,,2022-09-17T16:41:00.000Z,1.0001385062588137,4634733694.523052,-7.8425,-0.00508446,0.01312467,0.01747949,0.03693291,-0.00886886,-0.00870964,50222345400.82282,5.15,50222345400.82,,2022-09-17T16:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-09-17 12:42:58.431566
4,1839,BNB,BNB,bnb,1108,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",200000000.0,161337261.09,161337261.09,,5,,,,2022-09-17T16:41:00.000Z,278.7928619480937,605867721.9316514,-26.5054,0.4880115,2.25680817,-4.83994439,-7.77897149,4.48497214,34.93793083,44979676758.14792,4.6162,55758572389.62,,2022-09-17T16:41:00.000Z,,,,,,2022-09-17 12:42:58.431566
5,4687,Binance USD,BUSD,binance-usd,5112,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'usd-stablecoin']",,20517253084.589256,20517253084.589256,,6,,,,2022-09-17T16:41:00.000Z,1.0000315928839223,6890662919.217323,-16.2138,-0.08150119,0.02520737,0.01677863,-0.0203158,0.07670731,0.01470974,20517901283.784363,2.104,20517901283.78,,2022-09-17T16:41:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2022-09-17 12:42:58.431566
6,52,XRP,XRP,xrp,815,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,49826021773.0,99989302361.0,,7,,,,2022-09-17T16:41:00.000Z,0.3742690555648686,1792290948.3705509,67.8895,0.34871197,12.66223459,5.46803483,-0.09528744,0.78123621,18.56019637,18648338111.53529,1.9139,37426905556.49,,2022-09-17T16:41:00.000Z,,,,,,2022-09-17 12:42:58.431566
7,2010,Cardano,ADA,cardano,570,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano']",45000000000.0,34182044152.629,34854947575.48,,8,,,,2022-09-17T16:41:00.000Z,0.48311837106393596,543667093.3904035,5.9684,0.11263204,5.70946387,-5.70957994,-8.55536736,-5.51529662,3.68317188,16513973490.65366,1.6934,21740326697.88,,2022-09-17T16:41:00.000Z,,,,,,2022-09-17 12:42:58.431566
8,5426,Solana,SOL,solana,384,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,353984662.2024461,511616946.142289,,9,,,,2022-09-17T16:41:00.000Z,33.345029572971185,553955261.9021306,-31.0838,0.49064527,4.67937804,-3.26057051,-17.95499227,-29.06484184,2.08739123,11803629029.51878,1.2114,17059882199.15,,2022-09-17T16:41:00.000Z,,,,,,2022-09-17 12:42:58.431566
9,74,Dogecoin,DOGE,dogecoin,564,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,10,,,,2022-09-17T16:41:00.000Z,0.062040330765057904,215695747.90899754,-13.6443,0.56565046,4.93240201,-2.87794148,-22.5397438,-10.23387487,7.39797239,8230938100.018465,0.8444,8230938100.02,,2022-09-17T16:41:00.000Z,,,,,,2022-09-17 12:42:58.431566
